,text,lon,lat,n,p
0,Alborz,50.81770576801064,35.948327664190174,189052.0,1240
1,Ardebil,48.04655205059578,38.44611587998949,41269.0,286
2,Bushehr,51.37901677355358,28.854747314296812,23487.0,55
3,Chahar Mahall and Bakhtiari,50.649769261490086,31.944832203231968,38718.0,68
4,East Azarbaijan,46.59085144611327,37.971047094519854,317692.0,779
5,Esfahan,52.46413417000922,33.17887871391892,431609.0,1950
6,Fars,53.18695512937969,29.296127432332206,370704.0,517
7,Gilan,49.456361599007415,37.2758569119597,169448.0,1174
8,Golestan,55.06232637546757,37.29607135020634,103987.0,391
9,Hamadan,48.54946465373912,34.868568438094826,31370.0,180
10,Hormozgan,56.21993731898931,27.11233139527958,76142.0,148
11,Ilam,46.83737759589525,33.18625428233209,39559.0,184
12,Kerman,57.27851753835717,29.575001628014977,169985.0,174
13,Kermanshah,46.63184447068517,34.455010303954175,49636.0,248
14,Khuzestan,48.968522990227385,31.486407366991028,335954.0,459
15,Kohgiluyeh and Buyer Ahmad,50.73249665705288,30.810460442249713,15475.0,73
16,Kordestan,46.96145851276473,35.71814733455791,45982.0,238
17,Lorestan,48.404739781923155,33.48357620911648,145889.0,502
18,Markazi,49.93051804809994,34.57073052368345,106157.0,963
19,Mazandaran,52.36690532077624,36.37649417525653,240112.0,1720
20,North Khorasan,57.03598260857926,37.40111107098686,52155.0,165
21,Qazvin,49.72108542799797,36.09324706804521,67378.0,622
22,Qom,50.9821410642148,34.69408477612086,35011.0,1170
23,Razavi Khorasan,58.873730594418085,35.48450812957906,513449.0,909
24,Semnan,54.65641886841709,35.4707827312951,53021.0,638
25,Sistan and Baluchestan,60.68395518673999,27.810387000066182,128855.0,140
26,South Khorasan,59.61142050105094,32.36122128945066,48048.0,182
27,Tehran,51.87648794379312,35.55563501001361,804458.0,5002
28,West Azarbaijan,45.28280032215145,37.72073052542617,145097.0,391
29,Yazd,55.60189060497591,32.56290607972287,86665.0,723
30,Zanjan,48.35885537247958,36.524305411648726,45034.0,392
