x,sat,rpt
2.5,0.0,0.0
7.5,0.0,0.0
12.5,0.0,0.0016
17.5,0.0,0.0079
22.5,0.0,0.0133
27.5,0.0,0.0184
32.5,0.0,0.0233
37.5,0.0,0.0204
42.5,0.0,0.0231
47.5,0.0,0.0358
52.5,0.003,0.0438
57.5,0.0185,0.0626
62.5,0.0368,0.0555
67.5,0.0732,0.0587
72.5,0.0783,0.0623
77.5,0.0909,0.0607
82.5,0.1258,0.0612
87.5,0.1272,0.0525
92.5,0.1069,0.0524
97.5,0.086,0.0863
102.5,0.0568,0.0209
107.5,0.0495,0.026
112.5,0.0313,0.0276
117.5,0.0291,0.0242
122.5,0.0225,0.0221
127.5,0.0158,0.0135
132.5,0.0118,0.0191
137.5,0.01,0.0197
142.5,0.0069,0.0124
147.5,0.0051,0.0157
152.5,0.0039,0.0123
157.5,0.0026,0.0104
162.5,0.0033,0.0084
167.5,0.0011,0.0058
172.5,0.0007,0.0049
177.5,0.0003,0.0041
182.5,0.0,0.005
187.5,0.0007,0.0032
192.5,0.0007,0.0031
197.5,0.001,0.002
